Date,Distance (Km),Duration (HH:mm),Over speeding,Over RPM,Idle time,Acceleration,Deceleration,Total,Ranking,Target Variable,Quarter_bin,Month,Year
28/02/2022,5282,124.01666666666667,95,100,34,100,100,87,55,Good,Q1_2022,2,2022
28/02/2022,2955.9,78.91666666666667,90,100,58,99,100,89,31,Good,Q1_2022,2,2022
28/02/2022,2421.7,08:24:00,97,100,15,100,100,84,105,Good,Q1_2022,2,2022
28/02/2022,5193.9,01:12:00,78,100,36,98,98,81,133,Good,Q1_2022,2,2022
28/02/2022,4325.4,100.26666666666667,89,100,33,99,100,85,92,Good,Q1_2022,2,2022
28/02/2022,5215.4,15:36:00,89,100,13,98,99,81,133,Good,Q1_2022,2,2022
28/02/2022,4780.6,18:00:00,100,100,44,100,100,90,20,Good,Q1_2022,2,2022
28/02/2022,3014,08:24:00,89,100,36,100,100,85,92,Good,Q1_2022,2,2022
28/02/2022,3664.2,84.33333333333333,89,100,20,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,4117.5,93.53333333333333,98,98,30,97,98,86,70,Good,Q1_2022,2,2022
28/02/2022,4750.5,02:24:00,75,100,24,100,100,79,143,Risky,Q1_2022,2,2022
28/02/2022,3975.1,96.88333333333334,99,100,20,99,100,86,70,Good,Q1_2022,2,2022
28/02/2022,5572.8,104.46666666666667,95,97,28,100,99,85,92,Good,Q1_2022,2,2022
28/02/2022,4984.4,21:36:00,86,100,10,100,100,80,138,Good,Q1_2022,2,2022
28/02/2022,3376.8,105.33333333333333,97,99,24,99,100,85,92,Good,Q1_2022,2,2022
28/02/2022,4261.7,104.61666666666666,89,100,37,100,100,85,92,Good,Q1_2022,2,2022
28/02/2022,4522.3,109.41666666666667,100,100,67,91,90,91,15,Good,Q1_2022,2,2022
28/02/2022,3410.9,12:00:00,78,95,14,100,100,77,150,Risky,Q1_2022,2,2022
28/02/2022,199.8,36.166666666666664,100,99,64,100,99,94,9,Good,Q1_2022,2,2022
28/02/2022,5116,121.63333333333334,76,100,21,100,100,79,143,Risky,Q1_2022,2,2022
28/02/2022,3677.1,82.96666666666667,82,100,37,100,100,83,115,Good,Q1_2022,2,2022
28/02/2022,3519.3,19:12:00,73,100,48,100,100,82,123,Good,Q1_2022,2,2022
28/02/2022,3932.8,95.46666666666667,95,99,35,100,100,87,55,Good,Q1_2022,2,2022
28/02/2022,2285.9,131.23333333333332,100,100,99,100,100,100,1,Good,Q1_2022,2,2022
28/02/2022,4297,19:12:00,76,100,21,100,99,78,147,Risky,Q1_2022,2,2022
28/02/2022,3560.3,83.48333333333333,96,100,42,100,100,89,31,Good,Q1_2022,2,2022
28/02/2022,3227,84.13333333333334,91,100,48,94,96,86,70,Good,Q1_2022,2,2022
28/02/2022,167,12.766666666666667,89,100,27,100,100,84,105,Good,Q1_2022,2,2022
28/02/2022,5169.8,119.91666666666667,83,93,35,100,100,82,123,Good,Q1_2022,2,2022
